anon_id,orig_review_id,service,platform,rating,review_date,app_version,sentiment,themes,review_text,listing_url,accessed_at_kst
WS3-KA-000,13975121536,카카오페이증권(카카오페이 앱 내),애플앱스토어(KR),1,2026-04-19,26.3.1,부정(1-2성),C2;C13,[주식거래 NXT 예약매매 불가] NXT(프리마켓)은 변동성이 심하기 때문에 원하는 조건에 예약매매를 할 수 있다는 점이 이용자들에게 수익이나 손실을 주는 결정적인 요인인데 다른 증권사 앱은 프리마켓 예약매매가 가능한데 카카오페이는 그게 안된다는 점이 매우 치명적인 문제라고 본다. 처음 주식을 쉽게 접할 수 있어서 카카오페이로 시작한 점이 후회되고 다른 증권사로 옮기자니 가지고 있는 주식과 연금을 팔아서 자금 이동을 해야한다는 리스크가 있다 언제 개선해줄거에요?,https://apps.apple.com/kr/app/id1464496236,2026-07-16
WS3-KA-001,f5c5bcdf-debf-46e7-a5c3-076613fbadc9,카카오페이증권(카카오페이 앱 내),구글플레이(KR),1,2021-09-18,1.19.1,부정(1-2성),C3,"증권페이 출금 방법을 찾을 수가 없어서 상담원과 채팅, 페이 출금 방법을 알려줌... 화가난다! 아~니! 출금이 왜 이렇게 복잡하고 어려운 거야 입출금은 메인 화면 아닌가? 얍삽하게, 입금은 쉽고 출금은 어렵게 만든 건가? 출금은 어떻게 하는거야? 답변을 보니 더 어이가 없네.. 한쿡말 몰라요?? 어디서 왔어요?",https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-002,14171861036,카카오페이증권(카카오페이 앱 내),애플앱스토어(KR),3,2026-06-11,26.4.10,중립(3성),C14;C7,[보안] 보안이 더 강화되야합니다 . 불안해서 다른 증권사로 옮겨야하는지 고민입니다 초보자에게는 카카오증권이 정말 유리합니다 그래서 사용하고싶은데 보안을 더 강화시켜주세요 비밀번호도 4자리라 불안하고 매수시 비밀번호 입력도 없이 결제되는 부분도 불안합니다 예전에 아침에 매도 매수하려는데 갑자기 사이트가 안되서 손실이 났어요 ㅜ ㅜ,https://apps.apple.com/kr/app/id1464496236,2026-07-16
WS3-KA-003,cc78fd08-b667-4bd7-b750-02d13a94fce4,카카오페이증권(카카오페이 앱 내),구글플레이(KR),1,2025-12-26,25.11.1,부정(1-2성),C9;C4,"전반적으로 증권 UI가 토스에 비해 불편합니다. 환전 버튼도 검색에서 찾아 들어가야 하고 환전 기능도 환전, 환전하기 두개 중 하나만 남겨주세요. 하나 폐지된건데 헷갈립니다. 또, 환전 후에 달러가 얼마 있는지 바로 알 수 있게 해주세요. 계좌 들어가서 찾아봐야하는게 매우 불편합니다. 미국 주식 주로 하는 고객 입장에선 별로에요. 수익도 얼마인지 첫화면에서 볼 수 있게 해주세요. 처음에 매도 후 수익 얼마났는지 찾는게 좀 번거롭네요. 바로 한 화면에서 알 수 있게 해주세요. 또 신규 기능 광고창 처음에 너무 크게 띄워서 필수기능이 묻히고 닫기버튼 세번 눌러야 광고 다 꺼져서 진짜 귀찮았습니다. 추가로 삼성 페이에서 바로 결제 꺼내서 사용할 수 있는 기능은 없을까요? 앱 켜서 결제 창 띄우기까지 굉장히 불편합니다. 간편 결제도 고객이 일일히 설정해서 쓰는 경우는 잘 없어요.",https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-004,feb044d4-96c3-44d6-933d-0337bfee9af3,카카오페이증권(카카오페이 앱 내),구글플레이(KR),1,2023-12-03,2.24.5,부정(1-2성),C2;C7,카카오증권은 이상한앱입니다. 작은회사도 아닌데 중요한순간에 렉걸리고 특히 미국장 시장가매수 누르면 잠깐멈췄다가 가격올라가고 오른 가격에 매수됩니다. 매도의경우는 완전 싸게 팔립니다. 호가창에 카카오증권 사용자들의 주문수량은 적용되지 않습니다. 즉 내가 매수를 눌러도 해당매수잔량은 변하지 않고 매도 잔량도 마찬가지 입니다. 카카오증권 미국장을 하다보면 타증권사 모의프로그램으로 매매하는것과 비슷합니다. 아무리사도 가격을 올릴수 없으며 아무리팔아도 가격이 안내려갑니다. 일부 적용될때도 있긴 합니다. 즉 미국장의 다른사람들이 올리고 내리는것에 맞춰서 보여줄뿐이고 카카오증권 유저들은 미국장 시세에 영향을 주기 미미합니다. 짧은기간에 2천만원 잃었지만 계속하면 더잃을겁니다. 증권 오래해보신분들은 왜 모의투자프로그램이랑 비슷 한지 느끼실겁니다. 한국장은 아닌데 미국장은 시작하는순간 그계좌의돈은 전부 카카오에게 바치는돈입니다. 서버 컨트롤도 안되면서 증권앱은 왜운영하는지? 1초를 다투는 증권계에서,https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-005,fbe8615a-ab66-453d-bf57-d1d598cf1d2f,카카오페이증권(카카오페이 앱 내),구글플레이(KR),1,2026-04-21,26.3.1,부정(1-2성),C8;C7,아니.... 카카오증권 소수점구매 10분단위로 바꾼거 생각이 있으신거 맞아요??? 내가 구매한 시점 가격을 원해서 실시간으로 소수점구매를 하는건데 내가 원하지도 않는 가격에 10분뒤에 사지면 그 손해는 누가감당할건데요??? 소수점 구매하고 n주 사려고 구매수수료까지 계산해서 구매한건데 10분뒤에 오른가격에 구매되서 n-0.001됐잖아요 진짜 좋은말할때 복구시켜주세요 아니면 이게 어느부분에서 더 편리하고 안전한지 어느시점에 체결되는 금액인지 명시를 뚜렷하게 하던가요 증권홈에 다른거 광고는 그렇게 잘하면서 이런 공지를 대문짝만하게 해놨어야죠 그랬더라면 소수점 구매 시도도 안했을거아니에요 이미 발주되었다고 취소도 안되고 뭐 어쩌란건지,https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-006,d03fb102-f2cc-4042-9cf6-04d184b32325,카카오페이증권(카카오페이 앱 내),구글플레이(KR),2,2022-05-09,미상,부정(1-2성),C2,카카오페이 증권에서 지정가 매도 주문을 접수하면 지정가와 상관없이 즉시 매도 체결이 되어 버리는 경우가 벌써 3번째네요. 팔고 싶지 않는데 팔아버려 손해도 보고 있구요. 시급히 오류 확인 및 수정 해주세요.,https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-007,90b7a6a8-1e39-4d86-8f16-8dd096b8b455,카카오페이증권(카카오페이 앱 내),구글플레이(KR),3,2022-01-15,미상,중립(3성),C14;C6,카카오 페이 로그인 했는데 이후 인증 번호와 주민 등록 번호와 계좌 번호를 넣으라고 하더라고요 증권과 계좌번호와 연결이 되어 있나요?연결된 계좌에서 나도 모르게 자동 이체 되는건 아닌지 불안 하네요 그냥 돈 받고 다른 통장으로 이체하려고 하는데 이 페이를 사용하는게 맞나요?증권만 관련 있는게 아닌가요?주소도 모두 넣으라고 하는데 저는 증권하지 않아요 이 페이는 증권과 관련 있는지 처음 사용할때 로그인 할때시 카카오 계정으로 로그인하고 그다음 계좌번호와 주민번호와 계좌 비번을 기입했는데 안내 창에서 증권 자동이체가 날짜에 될것이라고 뜨던데요?이 페이 불안한데요,https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-008,0761bb20-98a0-4858-8783-631ed0a80cf8,카카오페이증권(카카오페이 앱 내),구글플레이(KR),2,2025-12-24,25.11.1,부정(1-2성),C10;C5,"일단 증권에 수수료,세금 포함 되있는것인지 알아보기쉽게 확인되었으면 좋겠습니다. 그리고 금손들이 사고있다는주식,주주들속마음. 이거 너무 노골적으로 어떤 주식이든 주식매수하라는 느낌이 강하게 들었습니다. 수수료도 싸지는않은데,주린이들어떻게되던지말던지 수수료위해 자꾸 부추기는 것 같습니다.",https://play.google.com/store/apps/details?id=com.kakaopay.app&hl=ko,2026-07-16
WS3-KA-009,13654859663,카카오페이증권(카카오페이 앱 내),애플앱스토어(KR),1,2026-01-20,26.1.0,부정(1-2성),C1,[허가되지 않은 접근] 주식 클릭도 안되고 매수매도 해야되는데 평소엔 잘되다가 갑자기 꼭 필요한 순간에 ㅈㄹ 났는지 모르겠네요 진짜 한번도 이런적 없다가 왜 이러냐 왜 아오 스발바르 아니 1대1 문의하기에서는 허가되지 않은 접근이면 뭐 검사맡고 문의하기 해야됩니까? 개짜치네 진짜,https://apps.apple.com/kr/app/id1464496236,2026-07-16
